"","ensemblID","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"2","ENSG00000122043",-1.69551973459084,-0.516158861416097,-4.21880195609843,0.000150887950165678,0.000697054303759932,0.292535418347142,"LINC00544"
"8","ENSG00000131484",-1.76375022023355,-0.588586591640068,-5.03017488270915,1.26461466254219e-05,7.48274808061183e-05,2.7121032037034,"AC091132.1"
"15","ENSG00000153363",-1.6310828199341,-0.134238092163257,-5.37182765383056,4.36667332064048e-06,2.83857504519646e-05,3.7573080140189,"LINC00467"
"17","ENSG00000163597",-1.76574685009836,3.88332039022155,-7.2253013716623,1.36790691052561e-08,1.73860555062877e-07,9.46585361999884,"SNHG16"
"21","ENSG00000170161",-1.66607395303393,-1.01779637212933,-7.05132878336574,2.33316748272097e-08,2.7615395522195e-07,8.93541836463484,"AL512625.1"
"24","ENSG00000173862",-2.11081154658025,-1.29685379750558,-7.12602902121888,1.85458354392348e-08,2.26151680269162e-07,9.16344910487712,"AC008080.1"
"25","ENSG00000174365",-1.93584870158956,0.727560758018254,-8.01486359681623,1.25563120362735e-09,2.12146203761457e-08,11.840398547648,"SNHG11"
"27","ENSG00000175611",-2.19724688558074,1.62463722411676,-6.90916380536433,3.61578319885548e-08,4.01361475398021e-07,8.50039124750522,"LINC00476"
"28","ENSG00000175746",-1.82198039659481,-1.57970314116275,-5.82106338542023,1.07161360429576e-06,8.12302420409414e-06,5.14291232376849,"C15orf54"
"31","ENSG00000175779",-1.86536747620533,-0.707680817911823,-5.28229268692797,5.77361043679877e-06,3.63083430096444e-05,3.48244218164416,"LINC02694"
"32","ENSG00000176124",-2.04336529276647,1.5492270648246,-7.47747790724591,6.33774385971046e-09,8.65678195383178e-08,10.2304860307122,"DLEU1"
"38","ENSG00000177335",-2.8310872231841,-0.372213608660401,-7.7814370356052,2.52741864812172e-09,3.84274426400029e-08,11.1445938860392,"C8orf31"
"39","ENSG00000177338",-2.12338491814261,-2.23108815078212,-6.76019672340328,5.73103100823216e-08,6.01258041187848e-07,8.04321012012561,"LINC00469"
"44","ENSG00000178440",-2.59430973595525,0.843085810690128,-10.2280111245438,2.28414758945863e-12,1.00047966939541e-10,18.1148649017062,"TIMM23B-AGAP6"
"58","ENSG00000180422",-3.06674518179041,-0.818802421766533,-9.46647314587236,1.86793374424094e-11,5.6535232100875e-10,16.0263356520216,"LINC00304"
