;Unnamed: 0_x;Interactor2.Symbol;Protein;Protein names;UniProt Localization;HPA Localization;OpenCell Localization;SimChrom Category;SimChrom-SL Category;MS-based studies;Abundance, ppm;PFAM;Protein length;Protein complexes;RNAInterID;Interactor1.Symbol;Category1;Species1;Category2;Species2;Raw_ID1;Raw_ID2;score;strong;weak;predict;Unnamed: 0_y;ensemblID;logFC;AveExpr;t;P.Value;adj.P.Val;B
2368;1978736;MTA2;O94776;Metastasis-associated protein MTA2;Nucleus (ECO:0000255);Nucleoplasm (Enhanced);;Histone modification, Chromatin remodelers, Telomere-associated;Chromatin remodelers;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023";65.2;"Myb_DNA-binding(Myb-like DNA-binding domain,PF00249);GATA(GATA zinc finger,PF00320);BAH(BAH domain,PF01426);ELM2(ELM2 domain,PF01448);MTA_R1(MTA R1 domain,PF17226)";668;"MBD2/NuRD nucleosome remodeling and deacetylase complex,CPX-880,ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion);MBD3/NuRD nucleosome remodeling and deacetylase complex,CPX-922,ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)";RP36083378;SNHG5;lncRNA;Homo sapiens;TF;Homo sapiens;NCBI:387066;NCBI:9219;0.3445;RIP//RNA pull-down assay;;;132;ENSG00000203875;-2.79357818092896;3.17229546572489;-7.92087451041262;1.6629897857665301e-09;2.70123476012347e-08;11.5609108469976
2997;1100542;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33705428;SNHG15;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:285958;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;966;ENSG00000232956;-2.77917597283892;1.81941702980103;-9.99049401552001;4.36370990206709e-12;1.65388536558525e-10;17.4717593121349
2998;1100543;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33848645;SNHG16;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:100507246;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;17;ENSG00000163597;-1.76574685009836;3.88332039022155;-7.2253013716623;1.36790691052561e-08;1.73860555062877e-07;9.46585361999884
2999;1100544;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33783399;SNHG17;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:388796;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;95;ENSG00000196756;-2.91593577289014;2.76693240053218;-11.8719733234314;3.16171674568078e-14;4.15666948408721e-12;22.3586429297008
3000;1100546;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33851604;SNHG5;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:387066;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;132;ENSG00000203875;-2.79357818092896;3.17229546572489;-7.92087451041262;1.6629897857665301e-09;2.70123476012347e-08;11.5609108469976
3003;1100420;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33745410;DANCR;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:57291;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;493;ENSG00000226950;-1.97490458175396;2.8150326492749;-6.0781695760482;4.79377709969811e-07;4.02543318531536e-06;5.93825752661623
3004;1100426;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP34814081;EPB41L4A-AS1;lncRNA;Homo sapiens;protein;Homo sapiens;NCBI:114915;NCBI:79068;0.3214;CLIP;eCLIP;;285;ENSG00000224032;-2.55110776467953;0.623872226190378;-8.55111286415612;2.57565840171701e-10;5.081461628800851e-09;13.4163564845539
3006;1100477;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP08331220;MIR17HG;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:407975;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;215;ENSG00000215417;-1.84534139091266;0.99398029655203;-5.74834557141758;1.34549165469835e-06;9.96563977344356e-06;4.91812246599078
3007;1100448;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP35183453;IQCH-AS1;lncRNA;Homo sapiens;protein;Homo sapiens;NCBI:100506686;NCBI:79068;0.3214;CLIP;eCLIP;;2357;ENSG00000259673;-2.36524264156248;-0.0326418860202442;-8.03552475053475;1.1805743112048e-09;2.01897403546284e-08;11.9017115063395
3008;1100450;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33851530;JPX;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:554203;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;374;ENSG00000225470;-1.81667140678558;3.58380683530008;-7.33868036440905;9.67227303315251e-09;1.24819793406358e-07;9.810288704289
